Rk,Player,Pos,Tm,Cap Hit
373,Trey Flowers\FlowTr00,DE,NWE,"$1,907,000 "
374,A.J. Cann\CannA.00,OG,JAX,"$1,907,000 "
375,Quinton Spain\SpaiQu00,OG,TEN,"$1,907,000 "
376,Stefon Diggs\DiggSt00,WR,MIN,"$1,907,000 "
377,Bryce Callahan\CallBr00,CB,CHI,"$1,907,000 "
378,Za'Darius Smith\SmitZa00,DE,BAL,"$1,907,000 "
379,Kyle Emanuel\EmanKy00,OLB,LAC,"$1,907,000 "
380,Dion Jordan\JordDi00,DE,SEA,"$1,907,000 "
381,Neal Sterling\SterNe00,WR,NYJ,"$1,907,000 "
382,Jay Ajayi\AjayJa00,RB,PHI,"$1,907,000 "
383,Max Garcia\GarcMa00,C,DEN,"$1,907,000 "
384,T.J. Clemmings\ClemT.00,OT,OAK,"$1,907,000 "
385,Jordan Berry\BerrJo00,P,PIT,"$1,907,000 "
386,Kwon Alexander\AlexKw00,OLB,TAM,"$1,907,000 "
387,Adrian Amos\AmosAd00,FS,CHI,"$1,907,000 "
388,Captain Munnerlyn\MunnCa99,DB,CAR,"$1,900,000 "
389,Nick Perry\PerrNi00,DE,GNB,"$1,900,000 "
390,Steven Nelson\NelsSt01,CB,KAN,"$1,897,000 "
391,Tyler Kroft\KrofTy00,TE,CIN,"$1,897,000 "
392,Jack Conklin\ConkJa00,OT,TEN,"$1,895,242 "
393,Eli Harold\HaroEl00,OLB,DET,"$1,892,000 "
394,Melvin Gordon\GordMe00,RB,LAC,"$1,889,968 "
395,Leonard Floyd\FloyLe00,OLB,CHI,"$1,884,806 "
396,David Johnson\JohnDa08,RB,ARI,"$1,882,500 "
397,Chris Conley\ConlCh00,WR,KAN,"$1,882,000 "
398,John Miller\MillJo04,OG,BUF,"$1,872,000 "
399,Demetrius Harris\HarrDe03,TE,KAN,"$1,850,000 "
400,Rashaan Melvin\MelvRa00,CB,OAK,"$1,850,000 "
401,Graham Gano\GanoGr44,K,CAR,"$1,850,000 "
402,Myles Garrett\GarrMy00,DE,CLE,"$1,847,375 "
403,Eli Apple\ApplEl00,CB,NYG,"$1,827,484 "
404,Kevin Johnson\JohnKe04,CB,HOU,"$1,805,375 "
405,Josh Martin\MartJo02,LB,NYJ,"$1,800,000 "
